branded_page_name,brand_name_kr,brand_logo_id,ad_count
Pronutrition.official,프로뉴트리션,153132,57
투에이엔,투에이엔,65230,56
액트플러스,액트플러스,35312,56
NDP 엔디피,내추럴더마프로젝트,69832,56
불스원몰,불스원,763,55
베베데코,베베데코,166254,55
닥터노아 Dr.NOAH,닥터노아,164892,54
디퍼슈,디퍼슈,156118,54
와이케이스,와이케이스,91863,54
NIVEA,니베아,3360,53
Meal It - 밀잇,밀잇,153083,53
달바,달바,46,53
구달 goodal,구달,104,53
narka,나르카,155737,53
디에이이펙트,디에이이펙트,164346,53
Veimia.korea,베이미아,66475,52
시그널플래너,시그널플래너,45970,52
더마토리 Dermatory,더마토리,271,52
네스카페 돌체구스토,네스카페돌체구스토,4506,52
스킨천사 SKIN1004 Korea,스킨1004,66565,51
한율(Hanyul),한율,3357,51
메라블,메라블,159294,51
Bifigen.official.page,비피젠,109849,51
큐모모,큐모모,34177,51
잇더핏,델리스푼,4394,50
블랑코_official,블랑코,155480,50
닥터포헤어 - 두피관리의 정석,닥터포헤어,115,50
Oddtype,오드타입,157415,50
수면공감-Sleep_gonggam,수면공감,81436,50
DJI,디제이아이,645,50
말해보카,말해보카,34180,49
스카이라이프 - SkyLife,스카이라이프,85173,49
FILA Korea,휠라,693,48
커버링,커버링,165300,48
오즈키즈 OZKIZ,오즈키즈,154492,48
GC 녹십자웰빙,GC녹십자웰빙,154585,47
Shaishaishai.official,샤이샤이샤이,4009,47
마켓비,마켓비,4572,46
주트립,주트립,148305,46
더샘,더샘,31124,45
더클래스코리아,더클래스,109448,45
히든 hedn,히든,148615,44
Fruwe.asia,프루웨,155489,44
Vivaia.kr,비바이아,163804,43
퓌 fwee,퓌,328,43
렌시스 lenssis,렌시스,3808,43
오아드 Oiad,오아드,91884,42
비즈하우스,비즈하우스,96978,42
너티퍼센트 NaughtyPercent,너티퍼센트,165359,42
Wellage Global,웰라쥬,3787,41
에이블리,에이블리,65173,41
Mamaforest,마마포레스트,47228,41
Mayton,메이튼,46134,41
