brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
380,"샌드박스 네트워크",NULL,NULL,NULL
381,데비마이어,NULL,NULL,NULL
382,디딤스,NULL,NULL,NULL
383,뉴하우징,NULL,NULL,NULL
384,네이버바이브,NULL,NULL,NULL
385,까탈릭,Catalic,NULL,NULL
386,"Snack Surprise",NULL,NULL,NULL
388,자연맛남,NULL,NULL,NULL
389,컴마왕,NULL,NULL,NULL
390,오라뷰,NULL,NULL,NULL
391,쇼박스,NULL,"비공식작전, 시민덕희,  파묘,  왕과사는남자",NULL
392,칭따오,NULL,NULL,NULL
393,호야온돌,"HOYA Ondol",NULL,NULL
394,대한축구협회,NULL,NULL,NULL
395,익스프레스VPN,"Express VPN",NULL,NULL
396,셰플러그룹,NULL,NULL,NULL
398,불아더치킨,NULL,NULL,NULL
399,포스코1%나눔재단,NULL,NULL,NULL
400,리웨이뮤직,NULL,NULL,NULL
401,도미니온,NULL,NULL,NULL
402,코빗,Korbit,NULL,NULL
403,스파르타코딩클럽,NULL,NULL,NULL
404,신한투자증권,,신한투자증권,NULL
405,스타리무진,NULL,NULL,NULL
406,리브애니웨어,NULL,NULL,NULL
407,대한뉴팜,NULL,NULL,NULL
408,발로란트,Valorant,NULL,NULL
409,CULT,NULL,NULL,NULL
410,닥터엔도프,NULL,NULL,NULL
411,고려기프트,NULL,NULL,NULL
412,꼰에야,Conella,NULL,NULL
413,비자카드,Visa,NULL,NULL
414,서울시,Seoul,"서울배달, 안심이앱, 서울마이소울",NULL
415,롯데제과,NULL,"자일리톨, 롯데제로, 월드콘",NULL
416,KB금융그룹,NULL,NULL,NULL
417,한국경마,NULL,NULL,NULL
418,솔드아웃,Soldout,NULL,NULL
419,쭈꾸미도사,NULL,NULL,NULL
420,프레시지,NULL,NULL,NULL
421,루픽,NULL,NULL,NULL
422,데코르테,Decorte,NULL,NULL
423,의정부문화재단,NULL,NULL,NULL
424,바르닭,NULL,고고단,barudak_official
425,잭링크스,NULL,NULL,NULL
426,CaDA,NULL,NULL,NULL
427,마치블루풀빌라,NULL,NULL,NULL
428,월화식당,NULL,NULL,NULL
429,엔젤게임즈,NULL,NULL,NULL
430,미래엔아이세움,NULL,NULL,NULL
431,야핏,NULL,NULL,NULL
432,알펜시아,Alpensia,NULL,NULL
433,CJ그룹,NULL,NULL,NULL
434,팀42,NULL,NULL,NULL
435,어비스컴퍼니,ABYSS,NULL,NULL
436,포커스,NULL,NULL,NULL
437,컨디션,"HK inno.N",NULL,NULL
438,노르웨이수산물위원회,"Seafood from Norway",NULL,NULL
439,치킨플러스,"Chicken Plus",NULL,NULL
440,학예당식혜,NULL,NULL,NULL
441,인천광역시교육청,NULL,NULL,NULL
442,식스디,NULL,NULL,NULL
443,에스티알바이오텍,NULL,NULL,NULL
444,앨리스픽션,NULL,NULL,NULL
445,컴업,NULL,NULL,NULL
446,팔로잉박스,NULL,NULL,NULL
447,노베브,Nobev,NULL,NULL
448,업당,NULL,NULL,NULL
449,칙바이칙,NULL,NULL,NULL
450,포항시,Pohang,양포항,NULL
451,속초시,NULL,NULL,NULL
452,Bokksu,NULL,NULL,NULL
453,선비세상,NULL,NULL,NULL
454,티1,NULL,NULL,NULL
455,다사랑공동체,NULL,NULL,NULL
